Bioregion,Name_A,sig_A,Name_B,sig_B,speciesID,sig_differs,note
NSS,Craspedia chrysantha,A,Pycnosorus chrysanthes,A,10155,No,
RIV,Craspedia chrysantha,A,Pycnosorus chrysanthes,A,10155,No,
MON,Conyza albida,Y,Conyza sumatrensis,Y,10442,No,
NSS,Conyza albida,Y,Conyza sumatrensis,Y,10442,No,
RIV,Conyza albida,Z,Conyza sumatrensis,Z,10442,No,
RIV,Eryngium paludosum,A,Eryngium plantagineum,A,10871,No,
RIV,Brachyscome campylocarpa,A,Brachyscome smithwhitei,B,11012,Yes,
NSS,Brachyscome dentata,A,Brachyscome heterodonta,A,11056,No,
NSS,Ciclospermum leptophyllum,Z,Cyclospermum leptophyllum,Z,11195,No,spelling variant
MON,Euchiton gymnocephalus,C,Euchiton japonicus,C,11439,No,
SEH,Euchiton gymnocephalus,C,Euchiton japonicus,C,11439,No,
NSS,Senecio prenanthoides,C,Senecio sp. E,C,11634,No,
BBS,Eragrostis alveiformis,A,Eragrostis molybdea,B,11647,Yes,
NSS,Rubus anglocandicans,Y,Rubus discolor,Y,11733,No,
NSS,Pultenaea campbellii,A,Pultenaea setulosa,A,11810,No,
NSS,Spiranthes australis,A,Spiranthes sinensis,A,11877,No,
BBS,Leiocarpa panaetioides,A,Leptorhynchos panaetioides,A,12049,No,
NSS,Myosotis caespitosa,Z,Myosotis laxa,Z,12126,No,
NSS,Acaena anserovina,C,Acaena x anserovina,C,12513,No,
MON,Gamochaeta americana,Z,Gamochaeta purpurea,Z,12748,No,
NSS,Gamochaeta americana,Z,Gamochaeta purpurea,Z,12748,No,
SEH,Gamochaeta americana,Z,Gamochaeta purpurea,Z,12748,No,
BBS,Setaria gracilis,Z,Setaria parviflora,Y,13468,Yes,
NSS,Setaria gracilis,Z,Setaria parviflora,Z,13468,No,
NSS,Malva australiana,A,Malva preissiana,A,13837,No,
NSS,Petrorhagia dubia,Z,Petrorhagia velutina,Z,13845,No,
RIV,Anthosachne scabra,C,Elymus scaber,B,14896,Yes,
MON,Lobelia pedunculata,A,Pratia pedunculata,A,14938,No,
SEH,Lobelia pedunculata,A,Pratia pedunculata,A,14938,No,
RIV,Dissocarpus paradoxus,C,Dissocarpus paradoxus,B,2103,Yes,identical name listed twice in source spreadsheet
RIV,Sclerolaena lanicuspis,B,Sclerolaena lanicuspis,C,2182,Yes,identical name listed twice in source spreadsheet
NSS,Hibbertia riparia,B,Hibbertia stricta,B,2545,No,
NSS,Pterostylis falcata,A,Pterostylis furcata,A,4551,No,
NSS,Bromus hordeaceus,Z,Bromus mollis,Z,4807,No,
MON,Phalaris aquatica,X,Phalaris aquatica,Z,5106,Yes,identical name listed twice in source spreadsheet
NSS,Phalaris aquatica,Z,Phalaris aquatica,X,5106,Yes,identical name listed twice in source spreadsheet
RIV,Phalaris aquatica,X,Phalaris aquatica,Z,5106,Yes,identical name listed twice in source spreadsheet
SEH,Phalaris aquatica,X,Phalaris aquatica,Z,5106,Yes,identical name listed twice in source spreadsheet
BBS,Physalis angulata,Z,Physalis ixocarpa,Z,6056,No,
BBS,Solanum amblymerum,A,Solanum elegans,A,6064,No,
NSS,Aira elegans,Z,Aira elegantissima,Z,6547,No,
BBS,Boerhavia diffusa,A,Boerhavia dominii,C,6841,Yes,
NSS,Boerhavia diffusa,C,Boerhavia dominii,C,6841,No,
NSS,Eulalia aurea,C,Eulalia fulva,C,7602,No,
NSS,Setaria glauca,Z,Setaria pumila,Z,7842,No,
NSS,Festuca arundinacea,X,Festuca elatior,X,8745,No,
NSS,Caladenia dilatata,A,Caladenia tentaculata,A,9593,No,
NSS,Daviesia leptophylla,A,Daviesia virgata,A,9597,No,
BBS,Euchiton spp.,C,Gnaphalium spp.,Z,EUCH,Yes,
